sex,LSAT,UGPA,ZFYA,uuid
1,38.0,3.8,0.57,16014178802361504236
1,44.0,3.0,0.75,16014179231858233836
0,42.0,3.8,0.25,16014179661354963436
0,42.0,3.4,1.88,16014180090851693036
0,44.0,3.8,-0.1,16014180477398749676
0,47.0,3.2,1.11,16014180906895479276
1,39.0,3.0,-0.25,16014181508190900716
0,47.0,3.9,1.17,16014181937687630316
0,44.0,3.5,-1.53,16014182367184359916
0,41.0,3.7,0.55,16014182753731416556
1,35.0,3.8,-0.43,16014183183228146156
1,40.0,3.9,0.0,16014183612724875756
0,46.0,3.6,0.69,16014184042221605356
0,41.0,3.6,0.73,16014185030064083436
0,46.0,3.7,-0.12,16014185717258850796
0,47.0,3.7,1.94,16014186361503945196
0,44.0,3.7,-0.04,16014186962799366636
1,46.0,3.9,0.59,16014187392296096236
0,47.0,3.9,1.33,16014187821792825836
0,41.0,2.7,0.25,16014188251289555436
0,39.0,3.7,1.27,16014188680786285036
0,38.0,3.6,0.77,16014189110283014636
0,39.0,3.7,1.15,16014189539779744236
0,41.0,3.4,0.8,16014190098125492716
1,44.0,3.8,0.79,16014190570571895276
1,44.0,3.3,0.86,16014191000068624876
1,40.0,3.4,-0.43,16014191644313719276
1,47.0,3.3,-0.89,16014192073810448876
1,38.0,4.0,0.61,16014192503307178476
1,43.0,3.5,-0.83,16014192932803908076
1,38.0,3.4,0.13,16014193319350964716
1,45.0,3.6,-0.12,16014193748847694316
0,48.0,3.6,0.01,16014194178344423916
0,48.0,3.3,0.86,16014194607841153516
0,45.0,3.7,0.25,16014194994388210156
0,40.0,2.6,-1.68,16014195423884939756
1,41.0,3.5,-0.24,16014195896331342316
0,42.0,3.6,1.23,16014196325828071916
1,31.0,3.4,-1.12,16014196755324801516
1,40.5,3.7,-1.82,16014197184821531116
1,42.0,3.5,-0.72,16014197743167279596
1,44.0,3.3,0.48,16014198172664009196
1,44.0,3.7,0.61,16014198602160738796
0,39.0,3.1,-0.02,16014199031657468396
0,42.0,3.7,0.94,16014199461154197996
1,40.0,3.1,0.34,16014199847701254636
1,43.0,3.4,0.75,16014200277197984236
0,36.0,3.5,0.48,16014200706694713836
1,37.0,3.3,0.44,16014201179141116396
0,36.0,3.2,-1.56,16014201608637845996
1,36.0,2.6,-1.07,16014202038134575596
0,34.5,3.5,0.89,16014202424681632236
1,35.0,3.0,-0.26,16014202854178361836
1,35.0,3.2,0.38,16014203283675091436
0,35.0,2.7,0.39,16014203670222148076
1,27.0,4.0,0.39,16014204099718877676
0,39.0,3.4,0.49,16014204529215607276
1,38.0,3.0,-0.2,16014205130511028716
0,28.5,2.9,-0.63,16014205560007758316
0,30.75,3.0,0.92,16014205946554814956
0,33.0,3.2,-0.42,16014206419001217516
0,37.5,3.2,1.03,16014206848497947116
0,35.0,3.2,0.35,16014207277994676716
1,31.5,3.5,0.6,16014207707491406316
0,42.0,3.0,0.57,16014208094038462956
1,31.0,3.9,-0.15,16014208523535192556
1,32.0,2.9,0.42,16014208953031922156
0,39.0,3.3,0.18,16014209382528651756
0,35.0,3.5,-0.6,16014209812025381356
1,38.0,3.1,1.25,16014210241522110956
0,37.0,3.1,-0.35,16014210628069167596
1,36.0,3.8,0.88,16014211057565897196
1,40.0,3.5,-0.63,16014211530012299756
0,36.0,3.1,0.37,16014211959509029356
1,36.0,3.0,-0.57,16014212517854777836
0,37.0,3.3,-0.1,16014212947351507436
1,38.5,3.0,-0.81,16014213376848237036
1,41.0,3.4,0.18,16014213806344966636
1,36.0,3.4,-0.55,16014214235841696236
1,39.0,3.6,-0.74,16014214622388752876
1,36.0,3.3,0.41,16014215051885482476
1,37.0,3.2,-0.42,16014215481382212076
1,34.0,3.5,0.11,16014215910878941676
0,37.0,3.4,-0.02,16014216297425998316
1,33.5,3.7,-0.93,16014216769872400876
1,37.0,3.5,-0.29,16014217199369130476
1,30.5,3.4,-0.41,16014217628865860076
1,37.0,3.5,-0.07,16014218058362589676
1,42.0,2.9,0.6,16014218444909646316
1,37.0,3.0,1.66,16014218874406375916
1,34.0,3.4,-0.41,16014219303903105516
1,37.0,3.0,0.72,16014219862248853996
1,26.0,2.7,-0.54,16014220291745583596
1,33.5,2.9,0.94,16014220721242313196
0,36.0,2.6,0.24,16014221107789369836
1,40.0,2.7,0.37,16014221537286099436
0,35.0,3.2,-1.08,16014222009732501996
1,33.0,3.2,-0.18,16014222439229231596
0,30.0,3.1,-0.38,16014222868725961196
1,36.5,3.1,-0.53,16014223298222690796
0,42.0,3.2,0.96,16014223727719420396
1,33.0,3.8,0.77,16014224114266477036
1,38.0,3.2,0.21,16014224543763206636
1,23.0,2.7,-2.15,16014224973259936236
1,33.0,3.5,1.29,16014225359806992876
0,40.0,3.0,-0.03,16014225789303722476
1,35.0,3.5,1.08,16014226218800452076
0,41.0,2.8,1.26,16014226648297181676
1,28.0,3.4,-0.17,16014234465137660396
1,33.0,3.5,-0.38,16014235109382754796
0,39.0,3.3,0.96,16014235538879484396
0,40.0,3.1,0.34,16014235968376213996
1,36.0,3.5,1.03,16014236397872943596
0,32.0,2.7,0.69,16014236827369673196
1,39.0,3.1,-1.0,16014237256866402796
0,29.5,3.0,-0.52,16014237686363132396
0,36.0,3.4,0.61,16014238115859861996
0,35.0,3.2,0.57,16014238545356591596
0,36.0,3.1,-1.39,16014238931903648236
0,33.0,2.8,-0.54,16014239361400377836
0,39.0,3.3,-0.43,16014239790897107436
1,37.0,3.3,0.21,16014240220393837036
1,35.0,3.2,-0.06,16014240649890566636
0,38.0,3.2,-0.01,16014241036437623276
1,32.0,3.4,-0.49,16014241465934352876
0,33.5,3.5,0.55,16014241895431082476
1,45.0,3.6,0.51,16014242324927812076
1,42.0,3.1,0.68,16014242754424541676
1,36.0,3.7,0.64,16014243140971598316
1,29.5,2.9,-0.07,16014243570468327916
1,35.0,3.2,0.02,16014243999965057516
1,37.0,3.7,0.81,16014244429461787116
1,42.0,3.9,-1.03,16014244858958516716
0,33.0,2.6,-0.73,16014245288455246316
0,29.0,3.0,0.52,16014245717951975916
1,33.0,3.5,0.79,16014246104499032556
1,28.0,2.9,-2.13,16014246533995762156
1,40.0,3.2,0.19,16014246963492491756
0,42.0,3.8,1.52,16014247392989221356
1,30.5,3.6,-0.94,16014247822485950956
1,39.0,2.9,-1.06,16014248251982680556
0,37.0,3.3,1.74,16014248638529737196
0,36.0,3.1,0.74,16014249068026466796
0,39.0,2.8,-0.38,16014249497523196396
1,39.0,3.1,2.04,16014249927019925996
0,42.0,2.9,-0.36,16014250313566982636
0,32.0,3.3,0.2,16014250743063712236
0,37.0,2.4,2.82,16014251172560441836
1,32.0,3.2,0.45,16014251602057171436
0,33.0,3.0,0.32,16014252031553901036
0,40.0,2.9,1.07,16014252461050630636
0,42.0,2.8,1.26,16014252890547360236
1,31.0,3.0,-1.66,16014253320044089836
1,37.0,3.5,-0.2,16014253706591146476
1,36.0,3.6,0.3,16014254136087876076
0,36.0,3.0,-0.03,16014254565584605676
0,38.0,3.1,0.41,16014254995081335276
0,29.0,2.6,-2.05,16014255424578064876
0,37.0,2.9,1.02,16014255854074794476
1,31.0,3.5,-1.58,16014256240621851116
1,23.0,2.3,-1.41,16014256670118580716
0,47.0,3.4,2.67,16014257099615310316
0,45.0,2.7,1.12,16014257486162366956
1,35.0,3.7,1.36,16014257915659096556
1,36.0,2.9,1.32,16014258345155826156
1,23.75,2.7,-2.27,16014258774652555756
1,35.0,3.5,-0.71,16014259204149285356
0,24.0,2.9,-1.51,16014259590696341996
1,23.0,3.2,-1.37,16014260020193071596
0,46.0,2.8,0.06,16014260449689801196
0,37.0,3.0,0.21,16014260879186530796
1,33.0,3.5,-0.57,16014261265733587436
0,32.0,3.6,0.69,16014261695230317036
0,37.0,2.9,0.02,16014262124727046636
1,32.0,3.3,-0.33,16014262554223776236
0,35.0,3.1,-0.4,16014262983720505836
1,32.5,3.4,0.86,16014263370267562476
1,39.0,3.6,1.66,16014263799764292076
0,32.5,3.1,2.26,16014264229261021676
0,36.0,2.7,0.91,16014264658757751276
1,34.0,3.6,1.06,16014265217103499756
0,36.0,3.1,-0.54,16014265732499575276
0,43.0,3.4,2.88,16014266161996304876
0,26.0,3.3,-0.68,16014266591493034476
0,34.0,3.1,0.2,16014267020989764076
1,31.0,3.3,1.77,16014267450486493676
1,39.0,2.3,1.47,16014267837033550316
0,39.0,3.0,-0.53,16014268266530279916
1,40.0,3.0,0.96,16014268696027009516
0,34.0,3.3,0.31,16014269082574066156
1,38.0,3.7,-0.07,16014269512070795756
0,39.0,3.1,0.74,16014269941567525356
0,32.0,3.7,0.46,16014270714661638636
1,36.0,3.0,0.62,16014271187108041196
1,33.0,3.7,-0.2,16014271573655097836
1,28.0,3.5,0.26,16014272003151827436
1,37.0,2.9,-0.18,16014272432648557036
0,32.0,3.4,0.62,16014272819195613676
1,35.0,2.9,-0.56,16014273248692343276
1,40.0,2.7,-0.39,16014273678189072876
0,37.0,2.9,-0.33,16014274107685802476
1,35.0,2.8,-0.58,16014274537182532076
1,31.0,3.9,1.31,16014274966679261676
1,30.25,2.8,-0.45,16014275353226318316
0,44.0,3.5,1.76,16014275782723047916
0,35.0,2.8,1.31,16014276212219777516
0,45.0,3.5,1.82,16014276641716507116
1,39.5,2.9,-0.91,16014277028263563756
1,39.5,3.5,1.31,16014277715458331116
0,39.0,3.1,-0.58,16014278144955060716
1,31.5,3.6,0.18,16014278574451790316
1,39.0,2.8,0.2,16014279003948519916
1,38.0,3.7,1.68,16014279390495576556
0,35.0,3.0,0.3,16014279819992306156
1,39.0,3.1,0.58,16014280249489035756
0,33.0,3.5,0.96,16014281151432167916
1,35.0,3.2,-0.45,16014281580928897516
1,39.0,3.2,0.41,16014281967475954156
0,38.0,3.2,-0.15,16014282354023010796
0,40.0,3.0,0.25,16014283556613853676
0,33.0,2.7,-0.48,16014283986110583276
1,34.0,3.9,-0.54,16014284415607312876
1,25.0,3.7,0.6,16014284845104042476
1,34.0,3.2,-0.34,16014285274600772076
0,30.0,3.4,-0.02,16014285661147828716
1,37.5,3.1,0.06,16014286090644558316
0,35.0,3.0,-0.05,16014286520141287916
0,38.0,3.2,0.42,16014286949638017516
0,36.0,3.1,-0.23,16014287336185074156
0,36.0,3.2,0.66,16014287765681803756
1,39.0,3.2,-0.54,16014288195178533356
1,36.0,3.7,-0.07,16014288624675262956
0,35.0,3.2,0.38,16014289054171992556
0,44.0,3.0,0.1,16014289784316432876
0,36.0,3.3,-0.38,16014290213813162476
0,44.0,3.0,-0.03,16014290643309892076
0,25.0,2.6,-1.64,16014291029856948716
0,35.0,3.4,1.12,16014291459353678316
0,27.0,2.6,-1.18,16014291888850407916
1,39.0,3.0,0.11,16014292318347137516
0,38.0,3.3,0.37,16014292747843867116
0,39.0,2.9,0.17,16014293177340596716
0,29.0,2.5,-1.08,16014293606837326316
1,38.0,3.2,0.06,16014294036334055916
0,31.5,3.7,0.05,16014294465830785516
0,39.0,2.9,-0.43,16014294852377842156
1,38.0,3.1,-0.39,16014295281874571756
1,35.0,3.5,-0.83,16014295711371301356
0,32.5,3.5,0.78,16014296140868030956
0,42.0,3.0,-0.48,16014296570364760556
0,37.0,3.4,-0.48,16014296956911817196
0,42.0,3.2,-1.44,16014297386408546796
0,36.5,2.9,-0.02,16014297858854949356
1,31.5,2.6,0.63,16014298288351678956
0,36.0,3.1,-0.34,16014298717848408556
1,37.0,3.2,0.15,16014299147345138156
1,36.0,3.5,-0.13,16014299576841867756
0,36.0,3.6,-0.74,16014299963388924396
1,37.0,3.5,0.56,16014300392885653996
0,28.75,3.5,-0.59,16014300822382383596
0,39.0,3.2,0.15,16014301251879113196
1,38.0,3.4,0.09,16014301724325515756
1,33.5,3.5,-0.26,16014302153822245356
1,32.0,3.2,-0.27,16014302583318974956
1,41.0,2.9,1.06,16014302969866031596
1,29.5,3.1,-0.12,16014303399362761196
0,39.0,2.9,-0.16,16014303828859490796
0,39.0,3.0,-0.78,16014304258356220396
1,39.0,2.9,0.27,16014304687852949996
0,42.0,2.9,0.15,16014305117349679596
0,37.0,3.5,0.87,16014305546846409196
1,33.0,3.1,-0.16,16014305976343138796
1,37.0,3.2,-0.06,16014306362890195436
1,27.5,2.8,-0.85,16014306792386925036
1,41.0,3.1,0.3,16014307221883654636
1,34.0,3.5,1.54,16014307651380384236
1,33.0,3.6,-0.15,16014308037927440876
0,39.0,3.1,1.02,16014308467424170476
1,31.0,3.4,-1.06,16014308896920900076
1,37.0,3.1,0.06,16014309283467956716
1,35.0,3.4,-0.74,16014309712964686316
1,35.0,3.3,-0.73,16014310142461415916
0,33.0,3.2,-0.92,16014310571958145516
0,39.0,2.8,-0.13,16014311001454875116
0,11.0,3.0,-1.4,16014311430951604716
1,33.0,3.5,0.34,16014311817498661356
1,36.0,3.4,0.71,16014312246995390956
1,33.0,3.3,-0.36,16014312676492120556
1,32.0,3.4,-0.36,16014313063039177196
0,40.5,2.9,0.13,16014313836133290476
1,40.0,2.7,-0.08,16014314265630020076
1,33.0,3.8,-0.28,16014314695126749676
1,36.0,3.3,-0.2,16014315124623479276
1,30.0,2.5,-0.93,16014315554120208876
1,26.0,2.5,-2.07,16014315940667265516
1,27.0,2.9,-0.96,16014316370163995116
0,33.0,3.5,0.84,16014316799660724716
1,30.0,3.2,-0.78,16014317186207781356
0,37.0,3.6,1.06,16014317615704510956
1,35.0,3.7,0.76,16014318045201240556
1,38.0,3.0,0.67,16014318474697970156
1,38.0,3.2,0.25,16014318861245026796
1,33.0,3.1,-0.46,16014319290741756396
1,39.0,3.4,0.49,16014319720238485996
1,38.0,3.3,-0.1,16014320321533907436
0,38.0,3.1,-0.73,16014320793980309996
0,41.0,3.3,1.77,16014321180527366636
1,31.0,3.3,-0.05,16014321610024096236
0,44.0,2.4,0.09,16014322039520825836
1,35.0,3.4,-0.45,16014322469017555436
1,31.0,2.8,-0.01,16014322898514285036
1,31.0,3.8,-0.75,16014323328011014636
1,38.0,3.5,2.54,16014323714558071276
0,38.5,2.5,0.12,16014324144054800876
0,39.0,3.3,0.1,16014324573551530476
1,39.0,3.5,-0.26,16014325003048260076
0,34.0,2.4,-1.18,16014325432544989676
0,39.0,3.5,1.48,16014325862041719276
1,31.0,3.3,0.04,16014326248588775916
0,31.0,3.7,-1.31,16014326678085505516
0,33.0,3.6,-0.01,16014327107582235116
0,36.0,3.4,-0.6,16014327494129291756
1,30.5,3.6,-1.06,16014327923626021356
0,34.0,3.1,-0.03,16014328353122750956
0,37.0,3.3,0.82,16014328782619480556
0,37.0,3.2,0.71,16014329212116210156
1,29.5,3.6,0.55,16014329641612939756
0,38.0,3.0,0.23,16014330071109669356
0,37.0,2.6,-0.24,16014330500606398956
0,39.0,3.2,0.26,16014331445499204076
1,36.0,3.0,-0.34,16014331874995933676
1,39.0,2.7,-0.22,16014332304492663276
1,37.0,3.3,0.52,16014332733989392876
0,42.0,2.6,1.73,16014333120536449516
1,16.0,2.8,-0.9,16014333550033179116
0,31.5,3.0,0.06,16014333936580235756
0,41.0,2.8,0.35,16014334323127292396
0,43.0,2.7,0.41,16014334752624021996
1,35.0,3.0,-0.01,16014335139171078636
1,38.0,2.9,0.26,16014335568667808236
0,33.0,2.5,-0.99,16014335955214864876
1,35.0,3.3,-0.21,16014336384711594476
0,43.0,3.1,1.15,16014336814208324076
0,32.0,3.5,0.07,16014337200755380716
0,36.0,3.0,2.76,16014337630252110316
1,28.0,2.5,-1.85,16014338016799166956
1,23.5,2.1,-2.13,16014338446295896556
1,42.0,2.8,1.67,16014338832842953196
1,25.0,2.9,-1.42,16014339262339682796
1,36.0,3.2,0.41,16014339648886739436
1,33.0,3.2,0.08,16014340078383469036
0,37.0,3.3,0.35,16014340464930525676
1,36.0,3.2,-0.72,16014340894427255276
0,29.0,3.2,-0.99,16014341280974311916
1,15.0,2.9,-1.52,16014341667521368556
1,31.5,3.5,1.32,16014342097018098156
1,36.0,3.0,-0.1,16014342483565154796
1,32.75,3.4,-1.0,16014342870112211436
1,22.0,3.2,-1.67,16014343299608941036
1,36.0,3.5,0.24,16014343686155997676
0,40.0,3.4,-0.72,16014344115652727276
1,33.5,3.5,0.26,16014344545149456876
1,43.0,3.0,0.6,16014344931696513516
1,34.0,3.5,-1.43,16014345361193243116
1,38.0,3.1,1.19,16014345747740299756
1,40.0,3.3,-0.49,16014346177237029356
0,41.0,3.0,1.77,16014346563784085996
0,34.0,3.4,0.17,16014346993280815596
0,34.5,3.2,-0.12,16014347379827872236
0,32.0,3.2,0.43,16014347809324601836
1,33.5,3.7,1.14,16014348195871658476
1,34.0,3.2,-0.33,16014348625368388076
0,38.0,3.1,0.32,16014349054865117676
1,28.0,3.4,-0.54,16014350214506287596
0,35.0,3.4,0.57,16014350644003017196
0,37.0,3.5,1.67,16014351073499746796
0,29.5,2.8,-1.33,16014351460046803436
0,35.0,3.3,-0.08,16014351889543533036
0,33.0,3.7,1.26,16014352319040262636
1,21.5,2.6,-2.06,16014352748536992236
1,36.0,3.1,-0.81,16014353178033721836
1,30.0,2.8,-0.51,16014353607530451436
1,37.0,3.6,1.44,16014353994077508076
0,35.0,3.1,-0.4,16014354423574237676
0,39.0,2.9,0.05,16014354853070967276
1,32.0,3.4,-0.1,16014355282567696876
1,39.0,3.3,0.13,16014355712064426476
1,41.0,3.1,0.29,16014356141561156076
1,39.0,3.5,-0.41,16014356785806250476
0,22.0,3.0,-2.01,16014357859548074476
1,36.5,3.2,0.63,16014358632642187756
1,34.0,3.3,-0.02,16014359105088590316
0,35.0,3.8,0.93,16014359534585319916
1,30.0,3.1,0.09,16014359964082049516
0,34.0,3.2,0.87,16014360393578779116
1,41.0,3.3,1.62,16014360823075508716
1,33.0,3.8,-1.18,16014361252572238316
1,37.0,3.5,0.29,16014361682068967916
1,39.0,3.8,0.97,16014362111565697516
1,33.0,3.3,-0.53,16014362498112754156
0,34.0,3.2,-0.7,16014362927609483756
0,31.0,2.7,-0.39,16014364044300980716
0,30.0,2.8,-0.11,16014364473797710316
1,38.0,3.5,0.57,16014364903294439916
1,42.0,2.8,0.31,16014365289841496556
0,19.0,2.4,-1.26,16014365719338226156
1,31.0,3.2,0.78,16014366148834955756
0,36.0,3.3,0.83,16014366578331685356
1,36.0,3.5,1.6,16014366964878741996
1,36.0,2.9,-0.11,16014367394375471596
0,35.0,3.3,0.48,16014367780922528236
0,32.0,3.1,0.89,16014368210419257836
1,35.0,3.1,0.87,16014368596966314476
1,39.0,3.1,0.89,16014369026463044076
0,39.0,3.2,-1.27,16014369413010100716
1,35.0,3.3,1.1,16014369885456503276
0,30.0,2.5,-0.86,16014370314953232876
1,32.0,3.0,-0.95,16014370744449962476
0,38.0,3.1,-1.57,16014371173946692076
0,33.5,3.3,0.16,16014371560493748716
1,35.5,3.3,0.08,16014371989990478316
0,38.0,2.9,-0.07,16014372376537534956
0,33.0,3.1,-0.37,16014372806034264556
1,34.0,3.3,-0.01,16014373192581321196
0,35.0,2.9,0.4,16014373622078050796
1,36.0,2.9,0.16,16014374008625107436
1,35.0,3.1,0.44,16014374438121837036
0,31.0,3.1,0.08,16014374867618566636
1,26.0,2.8,-2.02,16014375297115296236
1,22.0,2.6,-0.99,16014375683662352876
0,42.0,2.7,1.77,16014376113159082476
0,33.0,3.3,-0.33,16014376542655812076
0,33.0,3.4,-0.31,16014376929202868716
0,37.0,3.0,0.55,16014377315749925356
1,32.0,3.7,1.06,16014377745246654956
1,34.0,3.3,0.89,16014378131793711596
1,35.0,3.0,0.4,16014378561290441196
1,36.0,3.3,-0.54,16014378947837497836
1,34.0,3.2,-1.12,16014379377334227436
1,34.0,3.5,0.08,16014379806830957036
1,28.0,2.3,-0.54,16014381009421799916
1,34.0,3.1,0.83,16014381481868202476
1,34.0,3.9,1.83,16014381911364932076
1,20.0,3.3,-1.05,16014382340861661676
1,32.0,3.4,0.83,16014382727408718316
1,29.0,2.6,-1.01,16014383156905447916
0,33.0,3.2,-0.28,16014383586402177516
1,33.0,3.0,0.4,16014384015898907116
1,31.0,3.7,1.12,16014384445395636716
1,21.0,2.7,-1.22,16014384831942693356
0,35.0,3.5,1.83,16014385261439422956
1,38.0,3.1,-0.18,16014385733885825516
0,35.0,3.2,0.04,16014386163382555116
0,23.0,2.8,-0.5,16014386592879284716
0,41.0,2.9,0.87,16014386979426341356
1,33.5,3.2,0.16,16014387408923070956
0,35.0,2.9,0.8,16014387838419800556
1,22.5,2.7,-0.78,16014388267916530156
1,25.0,3.3,-1.08,16014388697413259756
0,36.25,3.5,-0.56,16014389083960316396
1,38.0,3.0,1.1,16014389513457045996
1,35.0,3.0,0.16,16014389942953775596
0,37.0,3.0,1.06,16014390372450505196
0,34.0,2.9,0.7,16014390801947234796
1,36.0,3.0,1.96,16014391231443964396
0,45.0,3.3,1.9,16014391660940693996
0,35.0,3.0,0.02,16014392047487750636
0,38.0,3.4,0.7,16014392476984480236
0,39.0,3.2,0.12,16014392906481209836
0,35.0,3.4,0.53,16014393335977939436
0,38.0,2.9,-0.92,16014393894323687916
0,45.0,4.0,0.93,16014394323820417516
0,45.0,2.6,1.19,16014394753317147116
0,36.0,3.0,0.96,16014395139864203756
1,33.0,3.3,0.8,16014395569360933356
0,35.0,3.3,0.51,16014395998857662956
0,40.0,3.0,-0.41,16014396428354392556
1,35.0,3.0,0.18,16014396857851122156
1,32.5,3.7,1.1,16014397287347851756
0,34.0,3.2,0.04,16014397673894908396
0,34.0,3.2,0.51,16014398103391637996
1,34.0,3.9,1.25,16014399005334770156
0,38.0,3.0,1.38,16014399434831499756
0,34.0,3.6,1.68,16014399821378556396
0,37.0,3.1,0.74,16014400207925613036
1,36.0,3.4,1.1,16014400594472669676
0,39.0,3.0,-0.56,16014405233037349356
0,36.0,3.2,-0.2,16014405705483751916
1,35.5,3.6,1.21,16014406263829500396
0,42.0,3.1,0.83,16014406693326229996
1,34.0,2.7,-0.69,16014407122822959596
1,37.0,3.1,0.57,16014407552319689196
1,42.0,2.7,1.77,16014407938866745836
1,34.0,3.0,-0.24,16014408368363475436
0,39.0,2.9,0.7,16014408797860205036
1,33.0,3.6,-0.43,16014409184407261676
0,33.0,3.4,0.4,16014409570954318316
1,35.0,3.3,0.57,16014410000451047916
0,38.0,3.2,-1.05,16014410429947777516
1,38.0,3.0,0.12,16014410816494834156
1,36.0,2.7,0.21,16014411245991563756
1,37.0,3.1,0.38,16014411675488293356
0,34.0,3.5,-0.24,16014412062035349996
0,42.0,2.9,-0.18,16014412491532079596
0,34.5,3.2,-0.67,16014412878079136236
0,32.0,3.2,-0.2,16014413264626192876
0,36.0,3.7,-1.78,16014413694122922476
0,40.0,2.9,0.18,16014414123619652076
1,27.0,3.1,0.16,16014414510166708716
0,35.0,3.1,0.89,16014414939663438316
1,36.0,3.4,1.15,16014415326210494956
0,35.0,3.0,-1.18,16014415755707224556
1,32.0,3.5,0.96,16014416142254281196
1,36.0,3.7,1.1,16014416528801337836
1,37.0,3.7,0.63,16014416958298067436
0,36.0,2.9,1.15,16014417344845124076
1,29.0,3.0,-1.08,16014417774341853676
1,25.0,2.6,0.04,16014418160888910316
0,34.0,2.7,-0.65,16014418590385639916
1,33.0,3.0,-0.39,16014419019882369516
1,39.0,2.9,-0.39,16014419406429426156
1,34.0,2.7,0.51,16014419792976482796
1,23.0,2.5,0.8,16014420222473212396
1,28.0,2.0,0.51,16014420651969941996
0,35.0,3.6,0.46,16014421038516998636
1,36.0,3.2,0.51,16014421425064055276
1,40.0,2.4,0.61,16014421854560784876
1,33.0,3.2,-0.14,16014422241107841516
1,25.0,2.7,-0.22,16014422670604571116
1,21.5,2.6,-1.23,16014423057151627756
1,22.0,3.3,-1.63,16014423486648357356
1,25.0,2.9,-0.58,16014423873195413996
0,36.0,2.8,0.08,16014424302692143596
0,34.0,3.6,0.25,16014424689239200236
0,21.0,3.2,-1.42,16014425118735929836
1,33.0,3.1,0.98,16014425505282986476
0,37.0,2.7,0.63,16014425934779716076
0,29.0,2.1,-1.41,16014426321326772716
0,31.0,2.7,-0.58,16014426750823502316
1,27.0,3.2,-0.24,16014427137370558956
0,20.0,3.1,-1.29,16014427566867288556
0,44.0,3.1,-0.61,16014427996364018156
0,31.5,3.3,0.27,16014428382911074796
1,33.0,3.5,0.12,16014428769458131436
1,34.0,3.0,1.12,16014429198954861036
0,34.0,2.9,0.21,16014429585501917676
0,35.0,3.0,1.74,16014430014998647276
1,26.0,3.7,-1.27,16014430401545703916
0,34.0,3.5,-0.69,16014430831042433516
0,39.0,2.6,-1.89,16014431260539163116
0,36.0,3.2,-0.69,16014431647086219756
1,34.5,3.8,0.63,16014432076582949356
1,33.0,3.5,-0.86,16014432463130005996
0,41.0,2.7,0.23,16014432892626735596
0,34.0,3.2,0.93,16014433279173792236
0,33.0,3.0,0.14,16014433665720848876
1,28.0,3.3,0.06,16014434095217578476
1,37.0,2.8,0.42,16014434481764635116
0,28.0,3.0,-1.2,16014434868311691756
1,22.0,2.7,-1.42,16014435297808421356
1,25.5,2.9,-0.71,16014435684355477996
0,31.5,3.2,0.16,16014436113852207596
0,38.0,2.5,-0.76,16014436543348937196
0,31.5,3.7,-0.2,16014436929895993836
0,31.0,2.7,-1.63,16014437316443050476
1,37.0,3.4,0.04,16014437745939780076
0,42.0,3.1,-1.05,16014438175436509676
1,36.0,3.6,1.27,16014438561983566316
0,40.0,2.6,-0.09,16014438991480295916
0,39.0,3.3,-1.37,16014439378027352556
0,36.0,3.3,-0.48,16014439764574409196
0,29.75,3.1,-0.2,16014440194071138796
1,33.0,3.5,-0.01,16014440580618195436
1,24.75,3.0,0.12,16014441010114925036
1,33.0,3.1,1.08,16014441396661981676
0,36.0,2.8,0.14,16014441826158711276
1,33.75,3.1,-0.33,16014442513353478636
0,35.0,3.0,1.19,16014442942850208236
0,32.0,3.2,-1.5,16014443372346937836
1,35.0,3.6,-0.56,16014443758893994476
0,34.0,2.9,-0.05,16014444145441051116
0,32.0,3.4,1.3,16014444574937780716
0,40.0,2.8,0.93,16014444961484837356
0,40.0,3.6,0.89,16014445390981566956
1,30.0,3.5,-0.09,16014445777528623596
1,33.0,2.4,-0.71,16014446207025353196
0,37.0,2.8,0.36,16014446593572409836
0,37.0,2.8,-0.09,16014446980119466476
1,33.0,3.5,-0.43,16014447409616196076
1,30.0,2.9,-1.14,16014447796163252716
0,34.0,3.0,0.23,16014448225659982316
0,35.0,3.4,-0.67,16014448612207038956
0,39.0,2.9,0.93,16014449299401806316
0,32.0,3.6,0.48,16014449728898535916
1,34.0,3.1,1.21,16014450115445592556
0,26.0,2.6,-1.14,16014450544942322156
1,35.0,3.0,0.38,16014450931489378796
1,35.0,3.5,0.46,16014451318036435436
1,38.0,2.8,-0.58,16014451747533165036
1,36.0,3.1,0.27,16014452134080221676
1,33.0,3.5,0.98,16014452563576951276
0,27.0,2.6,-1.48,16014452950124007916
0,31.0,3.1,-1.25,16014453379620737516
1,36.0,3.1,-0.46,16014453766167794156
0,36.5,3.3,0.34,16014454195664523756
1,36.0,3.2,0.53,16014454582211580396
0,34.0,3.5,0.66,16014455011708309996
1,27.0,2.5,-2.08,16014455398255366636
0,34.0,3.3,1.83,16014455784802423276
0,33.0,3.2,-0.73,16014456214299152876
1,40.0,3.2,-0.07,16014456600846209516
0,33.75,3.3,-0.4,16014457030342939116
0,38.0,2.8,0.7,16014457416889995756
1,39.0,2.9,0.89,16014457846386725356
1,37.0,3.0,-0.2,16014458232933781996
1,37.0,3.0,0.4,16014458619480838636
1,38.0,3.0,0.27,16014459048977568236
0,34.0,3.2,-0.92,16014459435524624876
1,22.75,3.2,-0.35,16014459865021354476
0,33.5,3.2,1.28,16014460251568411116
1,33.0,3.2,0.7,16014460681065140716
0,32.0,3.5,0.12,16014461067612197356
